0,carcass_weight
1_1,64.85
2_13,73.45
3_25,70.7
4_37,54.0
5_49,65.15
6_61,57.4
7_73,51.4
8_85,59.6
9_2,50.25
10_14,65.6
11_26,67.05
12_38,53.0
13_50,58.6
14_62,66.1
15_74,61.8
16_86,61.4
17_3,56.5
18_15,67.8
19_27,62.55
20_39,56.2
21_51,59.3
22_63,71.9
23_75,63.4
24_87,51.4
25_4,57.4
26_16,63.85
27_28,61.95
28_40,51.45
29_52,61.5
30_64,55.25
31_76,50.4
32_88,46.0
33_5,55.75
34_17,55.75
35_29,53.35
36_41,71.95
37_53,53.15
38_65,81.75
39_77,66.0
40_89,69.4
41_6,53.65
42_18,61.0
43_30,51.7
44_42,61.85
45_54,64.3
46_66,61.05
47_78,54.4
48_90,60.4
49_7,52.05
50_19,56.55
51_31,60.1
52_43,68.55
53_55,57.25
54_67,64.0
55_79,57.4
56_91,56.6
57_8,63.39
58_20,53.55
59_32,63.9
60_44,61.5
61_56,55.75
62_68,62.4
63_80,53.6
64_92,52.6
65_9,66.0
66_21,54.95
67_33,65.15
68_45,47.65
69_57,57.5
70_69,57.1
71_81,47.0
72_93,53.0
73_10,53.95
74_22,63.1
75_34,48.25
76_46,51.15
77_58,55.45
78_70,61.55
79_82,58.4
80_94,60.6
81_11,60.2
82_23,53.6
83_35,66.75
84_47,65.55
85_59,49.15
86_71,79.05
87_83,51.8
88_95,55.0
89_12,66.05
90_24,51.9
91_36,52.15
92_48,50.55
93_60,55.6
94_72,75.35
95_84,55.2
96_96,63.0
